datetime,user,passRaw,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-10-07_13-33,llaplace,1,sub-3000003_all_audacity_s3_r1_e1,3000003,audacity,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000003_all_digi_s3_r1_e1,3000003,digi,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000003_all_eeg_s3_r1_e1,3000003,eeg,0,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000003_all_zoom_s3_r1_e1,3000003,zoom,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000003_arrow-alert-v1-2_psychopy_s3_r1_e1,3000003,psychopy,0,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000004_all_audacity_s3_r1_e1,3000004,audacity,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000004_all_digi_s3_r1_e1,3000004,digi,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000004_all_eeg_s3_r1_e1,3000004,eeg,0,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000004_all_zoom_s3_r1_e1,3000004,zoom,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000004_arrow-alert-v1-2_psychopy_s3_r1_e1,3000004,psychopy,0,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000005_all_audacity_s3_r1_e1,3000005,audacity,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000005_all_digi_s3_r1_e1,3000005,digi,1,s3_r1,,
2025-10-07_13-33,llaplace,0,sub-3000005_all_eeg_s3_r1_e1,3000005,eeg,0,s3_r1,Missing files to process,"First line of deviation file is ""3000264 (Child 1; BBS1) decided not to continue after completing the alone and observe-other flanker conditions. 
"", should contain ""files to process"""
2025-10-07_13-33,llaplace,1,sub-3000005_all_zoom_s3_r1_e1,3000005,zoom,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000005_arrow-alert-v1-2_psychopy_s3_r1_e1,3000005,psychopy,0,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000008_all_audacity_s3_r1_e1,3000008,audacity,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000008_all_digi_s3_r1_e1,3000008,digi,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000008_all_eeg_s3_r1_e1,3000008,eeg,0,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000008_all_zoom_s3_r1_e1,3000008,zoom,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000008_arrow-alert-v1-2_psychopy_s3_r1_e1,3000008,psychopy,0,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000011_all_audacity_s3_r1_e1,3000011,audacity,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000011_all_digi_s3_r1_e1,3000011,digi,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000011_all_eeg_s3_r1_e1,3000011,eeg,0,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000011_all_zoom_s3_r1_e1,3000011,zoom,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000011_arrow-alert-v1-2_psychopy_s3_r1_e1,3000011,psychopy,0,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000012_all_audacity_s3_r1_e1,3000012,audacity,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000012_all_digi_s3_r1_e1,3000012,digi,1,s3_r1,,
2025-10-07_13-33,llaplace,1,sub-3000012_all_eeg_s3_r1_e1,3000012,eeg,0,s3_r1,,
2025-10-07_13-33,llaplace,0,sub-3000012_all_zoom_s3_r1_e1,3000012,zoom,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s3_r1/zoom/sub-3000012/, folder exists but no identifier or sub-3000012_all_zoom_s3_r1_e1_no-data.txt was found)"
